Post ID	Campaign Name	Image Name	Platform	Graphic Headline	Image Prompt	Caption	Hashtags	Scheduled Date	Scheduled Time	Holiday Or Seasonal Context	Status	Enabled
20260601-FB-001	CommunityBridge Annual Growth Campaign 2026-2027	2026-06-role-based-dashboards-01	Facebook	Clear Roles Create Better Care Days	clean branded healthcare-tech social graphic, white and slate background with subtle blue-green gradient accents, calm modern layout, abstract connected nodes and dashboard cards, headline centered, CommunityBridge brand feel, instagram portrait 4:5, CommunityBridge branding, Summer Operations emphasis, headline text Clear Roles Create Better Care Days	When every role can see what matters most, daily operations get easier to manage. CommunityBridge helps teams reduce confusion, support consistent communication, and keep care moving forward with more clarity. Request a demo to see how a more connected workflow can support your organization. This season is a good time to focus on summer coordination and clear team communication.	#CommunityBridge #ABATherapy #CareCoordination #HealthcareTechnology #BCBA #ClinicOperations	2026-06-01	10:00 AM	None	Pending	TRUE
20260601-IG-001	CommunityBridge Annual Growth Campaign 2026-2027	2026-06-role-based-dashboards-01	Instagram	Clear Roles Create Better Care Days	clean branded healthcare-tech social graphic, white and slate background with subtle blue-green gradient accents, calm modern layout, abstract connected nodes and dashboard cards, headline centered, CommunityBridge brand feel, instagram portrait 4:5, CommunityBridge branding, Summer Operations emphasis, headline text Clear Roles Create Better Care Days	Clear roles make busy care days feel more manageable. CommunityBridge helps teams stay connected, informed, and ready to support families with more confidence. Request a demo to see the workflow in action. This season is all about summer coordination and clear team communication.	#CommunityBridge #ABATherapy #CareCoordination #HealthcareTechnology #BCBA #ClinicOperations	2026-06-01	10:00 AM	None	Pending	TRUE
20260603-FB-002	CommunityBridge Annual Growth Campaign 2026-2027	2026-06-family-communication-02	Facebook	Family Communication Should Feel Simple	static branded portrait social graphic, supportive healthcare-tech style, soft green and blue accents, clean whitespace, subtle message bubbles and family-care icons, modern sans serif typography, calm reassuring composition, instagram portrait 4:5, CommunityBridge branding, Summer Operations emphasis, headline text Family Communication Should Feel Simple	Families should not have to guess what comes next. CommunityBridge helps care teams share timely updates, reduce back-and-forth, and create a more confident experience for parents and caregivers. Request a demo to explore a simpler communication workflow. This season is a good time to focus on summer coordination and clear team communication.	#CommunityBridge #FamilyCommunication #ABATherapy #CareTeams #ParentSupport #HealthcareWorkflow	2026-06-03	10:00 AM	None	Pending	TRUE
20260603-IG-002	CommunityBridge Annual Growth Campaign 2026-2027	2026-06-family-communication-02	Instagram	Family Communication Should Feel Simple	static branded portrait social graphic, supportive healthcare-tech style, soft green and blue accents, clean whitespace, subtle message bubbles and family-care icons, modern sans serif typography, calm reassuring composition, instagram portrait 4:5, CommunityBridge branding, Summer Operations emphasis, headline text Family Communication Should Feel Simple	Better family communication starts with clearer systems behind the scenes. CommunityBridge helps providers keep updates timely, simple, and easier for families to trust. Request a demo to learn more. This season is all about summer coordination and clear team communication.	#CommunityBridge #FamilyCommunication #ABATherapy #CareTeams #ParentSupport #HealthcareWorkflow	2026-06-03	10:00 AM	None	Pending	TRUE
20260605-FB-003	CommunityBridge Annual Growth Campaign 2026-2027	2026-06-scheduling-efficiency-03	Facebook	Better Schedules Support Better Days	branded instagram portrait graphic, operational healthcare layout, minimal calendar grid elements, soft green highlight, navy and slate accents, clean modern headline space, organized and efficient visual tone, instagram portrait 4:5, CommunityBridge branding, Summer Operations emphasis, headline text Better Schedules Support Better Days	Scheduling is more than filling a calendar. CommunityBridge helps providers coordinate staff, reduce friction, and create smoother days for clinicians, office teams, and families alike. Request a demo to see a more efficient scheduling workflow. This season is a good time to focus on summer coordination and clear team communication.	#CommunityBridge #SchedulingEfficiency #ABATherapy #ClinicOperations #CareCoordination #WorkflowTools	2026-06-05	10:00 AM	None	Pending	TRUE
20260605-IG-003	CommunityBridge Annual Growth Campaign 2026-2027	2026-06-scheduling-efficiency-03	Instagram	Better Schedules Support Better Days	branded instagram portrait graphic, operational healthcare layout, minimal calendar grid elements, soft green highlight, navy and slate accents, clean modern headline space, organized and efficient visual tone, instagram portrait 4:5, CommunityBridge branding, Summer Operations emphasis, headline text Better Schedules Support Better Days	A stronger schedule helps everyone move with less friction. CommunityBridge supports clearer planning, smoother handoffs, and better daily coordination. Request a demo to see the difference. This season is all about summer coordination and clear team communication.	#CommunityBridge #SchedulingEfficiency #ABATherapy #ClinicOperations #CareCoordination #WorkflowTools	2026-06-05	10:00 AM	None	Pending	TRUE
20260608-FB-004	CommunityBridge Annual Growth Campaign 2026-2027	2026-06-billing-visibility-04	Facebook	Visibility Turns Billing Into Action	professional branded social graphic for healthcare operations, clean white background, subtle billing chart elements, blue-green gradient lines, polished admin-tech style, clear centered headline, instagram portrait 4:5, CommunityBridge branding, Summer Operations emphasis, headline text Visibility Turns Billing Into Action	When billing details are easier to track, teams can respond faster and plan with more confidence. CommunityBridge helps organizations improve visibility across operational workflows so fewer details get lost. Request a demo to explore smarter coordination. This season is a good time to focus on summer coordination and clear team communication.	#CommunityBridge #BillingVisibility #HealthcareTechnology #ABATherapy #AdminEfficiency #OperationsSupport	2026-06-08	10:00 AM	None	Pending	TRUE
20260608-IG-004	CommunityBridge Annual Growth Campaign 2026-2027	2026-06-billing-visibility-04	Instagram	Visibility Turns Billing Into Action	professional branded social graphic for healthcare operations, clean white background, subtle billing chart elements, blue-green gradient lines, polished admin-tech style, clear centered headline, instagram portrait 4:5, CommunityBridge branding, Summer Operations emphasis, headline text Visibility Turns Billing Into Action	More visibility means fewer surprises. CommunityBridge helps teams stay on top of operational details with clearer workflows and stronger follow-through. Request a demo to learn more. This season is all about summer coordination and clear team communication.	#CommunityBridge #BillingVisibility #HealthcareTechnology #ABATherapy #AdminEfficiency #OperationsSupport	2026-06-08	10:00 AM	None	Pending	TRUE
20260610-FB-005	CommunityBridge Annual Growth Campaign 2026-2027	2026-06-reporting-insights-05	Facebook	Reporting Should Support Better Decisions	clean data-informed social graphic, branded healthcare-tech portrait design, subtle report cards and chart accents, calm professional palette, spacious layout, headline prominent and readable, instagram portrait 4:5, CommunityBridge branding, Summer Operations emphasis, headline text Reporting Should Support Better Decisions	Good reporting should help teams act, not slow them down. CommunityBridge supports better visibility into the information providers need so decisions can feel more timely, aligned, and practical. Request a demo to see how reporting workflows can work better. This season is a good time to focus on summer coordination and clear team communication.	#CommunityBridge #ReportingInsights #HealthcareWorkflow #ABATherapy #CareCoordination #OperationalClarity	2026-06-10	10:00 AM	None	Pending	TRUE
20260610-IG-005	CommunityBridge Annual Growth Campaign 2026-2027	2026-06-reporting-insights-05	Instagram	Reporting Should Support Better Decisions	clean data-informed social graphic, branded healthcare-tech portrait design, subtle report cards and chart accents, calm professional palette, spacious layout, headline prominent and readable, instagram portrait 4:5, CommunityBridge branding, Summer Operations emphasis, headline text Reporting Should Support Better Decisions	Better reporting leads to better next steps. CommunityBridge helps teams turn information into action with more clarity and less guesswork. Request a demo to explore the workflow. This season is all about summer coordination and clear team communication.	#CommunityBridge #ReportingInsights #HealthcareWorkflow #ABATherapy #CareCoordination #OperationalClarity	2026-06-10	10:00 AM	None	Pending	TRUE
